order_number,product_key,customer_id,shipping_date,due_date,sales,quantity,price,order_month,order_year,lead_time,shipping_delay,shipped_on_time
SO43700,41,14501,2011-01-05,2011-01-10,699,1,699,12,2010,7,7,False
SO43708,44,20042,2011-01-07,2011-01-12,699,1,699,12,2010,7,7,False
SO43717,41,25249,2011-01-09,2011-01-14,699,1,699,1,2011,7,7,False
SO43723,39,14520,2011-01-11,2011-01-16,699,1,699,1,2011,7,7,False
SO43726,39,14560,2011-01-12,2011-01-17,699,1,699,1,2011,7,7,False
SO43756,39,19941,2011-01-19,2011-01-24,699,1,699,1,2011,7,7,False
SO43771,44,14559,2011-01-23,2011-01-28,699,1,699,1,2011,7,7,False
SO43779,42,25252,2011-01-24,2011-01-29,699,1,699,1,2011,7,7,False
SO43796,38,17956,2011-01-27,2011-02-01,699,1,699,1,2011,7,7,False
SO43805,43,14510,2011-01-29,2011-02-03,699,1,699,1,2011,7,7,False
SO43823,38,19942,2011-02-01,2011-02-06,699,1,699,1,2011,7,7,False
SO43824,36,14558,2011-02-01,2011-02-06,699,1,699,1,2011,7,7,False
SO43827,36,25250,2011-02-01,2011-02-06,699,1,699,1,2011,7,7,False
SO43836,47,26620,2011-02-03,2011-02-08,699,1,699,1,2011,7,7,False
SO43840,42,17957,2011-02-04,2011-02-09,699,1,699,1,2011,7,7,False
SO43929,46,25270,2011-02-07,2011-02-12,699,1,699,1,2011,7,7,False
SO43935,40,20048,2011-02-09,2011-02-14,699,1,699,2,2011,7,7,False
SO43940,41,25294,2011-02-09,2011-02-14,699,1,699,2,2011,7,7,False
SO43943,36,14565,2011-02-10,2011-02-15,699,1,699,2,2011,7,7,False
SO43953,38,20049,2011-02-12,2011-02-17,699,1,699,2,2011,7,7,False
SO43979,46,14576,2011-02-17,2011-02-22,699,1,699,2,2011,7,7,False
SO43982,38,25271,2011-02-17,2011-02-22,699,1,699,2,2011,7,7,False
SO44002,41,14572,2011-02-23,2011-02-28,699,1,699,2,2011,7,7,False
SO44003,38,19325,2011-02-23,2011-02-28,699,1,699,2,2011,7,7,False
SO44005,40,26629,2011-02-23,2011-02-28,699,1,699,2,2011,7,7,False
SO44007,45,25555,2011-02-23,2011-02-28,699,1,699,2,2011,7,7,False
SO44037,43,25272,2011-02-28,2011-03-05,699,1,699,2,2011,7,7,False
SO44039,38,17971,2011-03-01,2011-03-06,699,1,699,2,2011,7,7,False
SO44053,36,19329,2011-03-05,2011-03-10,699,1,699,2,2011,7,7,False
SO44057,36,14577,2011-03-05,2011-03-10,699,1,699,2,2011,7,7,False
SO44060,38,25273,2011-03-05,2011-03-10,699,1,699,2,2011,7,7,False
SO44151,43,25558,2011-03-10,2011-03-15,699,1,699,3,2011,7,7,False
SO44166,36,14581,2011-03-13,2011-03-18,699,1,699,3,2011,7,7,False
SO44172,36,14584,2011-03-14,2011-03-19,699,1,699,3,2011,7,7,False
SO44188,40,20052,2011-03-20,2011-03-25,699,1,699,3,2011,7,7,False
SO44189,46,20054,2011-03-20,2011-03-25,699,1,699,3,2011,7,7,False
SO44204,41,14580,2011-03-23,2011-03-28,699,1,699,3,2011,7,7,False
SO44219,36,14590,2011-03-26,2011-03-31,699,1,699,3,2011,7,7,False
SO44225,46,20060,2011-03-28,2011-04-02,699,1,699,3,2011,7,7,False
SO44231,40,17973,2011-03-28,2011-04-02,699,1,699,3,2011,7,7,False
SO44245,44,25556,2011-03-30,2011-04-04,699,1,699,3,2011,7,7,False
SO44255,37,14585,2011-04-02,2011-04-07,699,1,699,3,2011,7,7,False
SO44262,46,20149,2011-04-03,2011-04-08,699,1,699,3,2011,7,7,False
SO44265,45,25557,2011-04-03,2011-04-08,699,1,699,3,2011,7,7,False
SO44266,41,25559,2011-04-03,2011-04-08,699,1,699,3,2011,7,7,False
SO44267,41,19339,2011-04-04,2011-04-09,699,1,699,3,2011,7,7,False
SO44269,42,14589,2011-04-05,2011-04-10,699,1,699,3,2011,7,7,False
SO44322,43,17975,2011-04-07,2011-04-12,699,1,699,3,2011,7,7,False
SO44335,47,20165,2011-04-11,2011-04-16,699,1,699,4,2011,7,7,False
SO44342,45,14610,2011-04-12,2011-04-17,699,1,699,4,2011,7,7,False
SO44346,41,14602,2011-04-13,2011-04-18,699,1,699,4,2011,7,7,False
SO44353,42,14591,2011-04-14,2011-04-19,699,1,699,4,2011,7,7,False
SO44354,41,14603,2011-04-14,2011-04-19,699,1,699,4,2011,7,7,False
SO44367,43,25562,2011-04-15,2011-04-20,699,1,699,4,2011,7,7,False
SO44397,44,14596,2011-04-19,2011-04-24,699,1,699,4,2011,7,7,False
SO44409,45,25563,2011-04-22,2011-04-27,699,1,699,4,2011,7,7,False
SO44422,42,19353,2011-04-25,2011-04-30,699,1,699,4,2011,7,7,False
SO44436,46,26630,2011-04-28,2011-05-03,699,1,699,4,2011,7,7,False
SO44442,40,14599,2011-04-29,2011-05-04,699,1,699,4,2011,7,7,False
SO44452,39,20164,2011-05-03,2011-05-08,699,1,699,4,2011,7,7,False
SO44456,45,25560,2011-05-03,2011-05-08,699,1,699,4,2011,7,7,False
SO44460,40,20150,2011-05-04,2011-05-09,699,1,699,4,2011,7,7,False
SO44463,39,19340,2011-05-05,2011-05-10,699,1,699,4,2011,7,7,False
SO44465,45,14613,2011-05-05,2011-05-10,699,1,699,4,2011,7,7,False
SO44466,40,26640,2011-05-05,2011-05-10,699,1,699,4,2011,7,7,False
SO44471,46,25561,2011-05-05,2011-05-10,699,1,699,4,2011,7,7,False
SO44474,44,14601,2011-05-06,2011-05-11,699,1,699,4,2011,7,7,False
SO44588,38,26683,2011-05-11,2011-05-16,699,1,699,5,2011,7,7,False
SO44591,44,17987,2011-05-12,2011-05-17,699,1,699,5,2011,7,7,False
SO44603,38,20167,2011-05-14,2011-05-19,699,1,699,5,2011,7,7,False
SO44604,46,19364,2011-05-14,2011-05-19,699,1,699,5,2011,7,7,False
SO44624,38,19357,2011-05-17,2011-05-22,699,1,699,5,2011,7,7,False
SO44639,44,14617,2011-05-19,2011-05-24,699,1,699,5,2011,7,7,False
SO44642,44,25567,2011-05-19,2011-05-24,699,1,699,5,2011,7,7,False
SO44653,42,20170,2011-05-21,2011-05-26,699,1,699,5,2011,7,7,False
SO44661,41,14639,2011-05-22,2011-05-27,699,1,699,5,2011,7,7,False
SO44665,40,25564,2011-05-22,2011-05-27,699,1,699,5,2011,7,7,False
SO44675,41,25566,2011-05-24,2011-05-29,699,1,699,5,2011,7,7,False
SO44681,38,17982,2011-05-26,2011-05-31,699,1,699,5,2011,7,7,False
SO44687,38,20172,2011-05-27,2011-06-01,699,1,699,5,2011,7,7,False
SO44698,42,25565,2011-05-29,2011-06-03,699,1,699,5,2011,7,7,False
SO44701,41,14636,2011-05-30,2011-06-04,699,1,699,5,2011,7,7,False
SO44717,41,14616,2011-06-02,2011-06-07,699,1,699,5,2011,7,7,False
SO44721,38,26643,2011-06-03,2011-06-08,699,1,699,5,2011,7,7,False
SO44726,39,14614,2011-06-04,2011-06-09,699,1,699,5,2011,7,7,False
SO44736,43,14634,2011-06-06,2011-06-11,699,1,699,5,2011,7,7,False
SO44809,38,20552,2011-06-08,2011-06-13,699,1,699,6,2011,7,7,False
SO44829,40,14643,2011-06-10,2011-06-15,699,1,699,6,2011,7,7,False
SO44849,46,17996,2011-06-14,2011-06-19,699,1,699,6,2011,7,7,False
SO44850,41,19417,2011-06-14,2011-06-19,699,1,699,6,2011,7,7,False
SO44855,45,26692,2011-06-14,2011-06-19,699,1,699,6,2011,7,7,False
SO44856,43,14651,2011-06-14,2011-06-19,699,1,699,6,2011,7,7,False
SO44874,45,18004,2011-06-17,2011-06-22,699,1,699,6,2011,7,7,False
SO44907,47,19415,2011-06-21,2011-06-26,699,1,699,6,2011,7,7,False
SO44920,36,14648,2011-06-22,2011-06-27,699,1,699,6,2011,7,7,False
SO44926,43,25706,2011-06-23,2011-06-28,699,1,699,6,2011,7,7,False
SO44943,44,25568,2011-06-25,2011-06-30,699,1,699,6,2011,7,7,False
SO44944,39,25707,2011-06-25,2011-06-30,699,1,699,6,2011,7,7,False
SO44945,46,25710,2011-06-25,2011-06-30,699,1,699,6,2011,7,7,False
SO44955,38,25709,2011-06-26,2011-07-01,699,1,699,6,2011,7,7,False
SO44958,39,20173,2011-06-27,2011-07-02,699,1,699,6,2011,7,7,False
SO44964,40,14647,2011-06-27,2011-07-02,699,1,699,6,2011,7,7,False
SO44965,39,14649,2011-06-27,2011-07-02,699,1,699,6,2011,7,7,False
SO44968,38,19365,2011-06-28,2011-07-03,699,1,699,6,2011,7,7,False
SO44978,46,14652,2011-06-29,2011-07-04,699,1,699,6,2011,7,7,False
SO44986,43,25708,2011-06-30,2011-07-05,699,1,699,6,2011,7,7,False
SO44988,36,17999,2011-07-01,2011-07-06,699,1,699,6,2011,7,7,False
SO44990,36,14645,2011-07-01,2011-07-06,699,1,699,6,2011,7,7,False
SO44998,37,14646,2011-07-02,2011-07-07,699,1,699,6,2011,7,7,False
SO45009,36,19387,2011-07-04,2011-07-09,699,1,699,6,2011,7,7,False
SO45012,38,14650,2011-07-04,2011-07-09,699,1,699,6,2011,7,7,False
SO45014,46,25705,2011-07-04,2011-07-09,699,1,699,6,2011,7,7,False
SO45037,39,25704,2011-07-07,2011-07-12,699,1,699,6,2011,7,7,False
SO45080,39,14657,2011-07-08,2011-07-13,699,1,699,7,2011,7,7,False
SO45081,36,26782,2011-07-08,2011-07-13,699,1,699,7,2011,7,7,False
SO45100,42,19428,2011-07-12,2011-07-17,699,1,699,7,2011,7,7,False
SO45111,42,25713,2011-07-14,2011-07-19,699,1,699,7,2011,7,7,False
SO45112,47,20558,2011-07-14,2011-07-19,699,1,699,7,2011,7,7,False
SO45117,38,14727,2011-07-15,2011-07-20,699,1,699,7,2011,7,7,False
SO45148,38,14656,2011-07-20,2011-07-25,699,1,699,7,2011,7,7,False
SO45163,43,25714,2011-07-22,2011-07-27,699,1,699,7,2011,7,7,False
SO45172,40,18008,2011-07-24,2011-07-29,699,1,699,7,2011,7,7,False
SO45183,40,25711,2011-07-25,2011-07-30,699,1,699,7,2011,7,7,False
SO45184,45,25717,2011-07-25,2011-07-30,699,1,699,7,2011,7,7,False
SO45191,43,14660,2011-07-26,2011-07-31,699,1,699,7,2011,7,7,False
SO45222,44,14728,2011-07-31,2011-08-05,699,1,699,7,2011,7,7,False
SO45225,36,14653,2011-08-01,2011-08-06,699,1,699,7,2011,7,7,False
SO45226,38,14662,2011-08-01,2011-08-06,699,1,699,7,2011,7,7,False
SO45227,46,14726,2011-08-01,2011-08-06,699,1,699,7,2011,7,7,False
